,brand,model,raw_model,category,lens_width,nose_bridge,temple_length,frame_width
29,Emilio Pucci,EP 2690 278,EP2690278,Женские оправы для очков,52,16,135,135
30,Odd Molly,GENTLEWOMAN 2 OM2,GENTLEWOMAN2OM2,Женские оправы для очков,56,15,130,140
31,Odd Molly,MEITNER 2 DK ROUCE,MEITNER2DKROUCE,Женские оправы для очков,54,15,125,135
32,Emilio Pucci,EP 5031-071,EP5031071,Женские оправы для очков,52,15,140,130
33,Emilio Pucci,EP 2713 210,EP2713210,Женские оправы для очков,53,15,135,135
34,Swarovski,FELINI SW 5157-F 071,FELINISW5157F071,Женские оправы для очков,55,16,145,140
35,Tod's,TO 5083-020,TO5083020,Женские оправы для очков,54,15,140,135
36,Balenciaga,"BAL 0078, 05L (БЕЗ ФУТЛЯРА)",BAL007805LБЕЗФУТЛЯРА,Женские оправы для очков,55,13,135,130
37,Balenciaga,"BAL 0087, UI4 (БЕЗ ФУТЛЯРА)",BAL0087UI4БЕЗФУТЛЯРА,Женские оправы для очков,47,20,140,130
38,Balenciaga,"BAL 0091, UE0 (БЕЗ ФУТЛЯРА)",BAL0091UE0БЕЗФУТЛЯРА,Женские оправы для очков,50,15,140,130
39,Balenciaga,"BAL 0113, KBB (БЕЗ ФУТЛЯРА)",BAL0113KBBБЕЗФУТЛЯРА,Женские оправы для очков,52,16,135,130
40,Caractere,CT 449 C.HA,CT449CHA,Женские оправы для очков,54,15,135,135
41,Sting,"VS 6508, 700Q",VS6508700Q,Женские оправы для очков,51,17,140,130
42,Sting,"VS 4879V, ABM",VS4879VABM,Женские оправы для очков,50,16,140,130
43,Sting,"VS 6486S, Z97X",VS6486SZ97X,Женские оправы для очков,55,12,140,135
44,Oxydo,"OX 546, 807",OX546807,Женские оправы для очков,53,15,140,135
45,Polaroid,"PLD D428/G, 0T5",PLDD428G0T5,Женские оправы для очков,56,17,145,143
46,Tom Ford,TF 5358-042,TF5358042,Женские оправы для очков,52,16,140,135
47,Valentin Yudashkin,VYF 155 C03,VYF155C03,Женские оправы для очков,54,18,140,137
48,Valentin Yudashkin,VYF 120 C02,VYF120C02,Женские оправы для очков,55,18,140,142
49,Givenchy,VGV 948 ART,VGV948ART,Женские оправы для очков,50,19,135,130
50,Vogue,VO 4067 - 5060,VO40675060,Женские оправы для очков,53,18,140,138
51,Vogue,VO 5413-2864,VO54132864,Женские оправы для очков,54,14,140,145
52,Vogue,VO 3987B-352,VO3987B352,Женские оправы для очков,54,16,135,134
53,Vogue,VO 4011 - 997,VO4011997,Женские оправы для очков,51,18,140,131
54,Vogue,VO 5439-3000,VO54393000,Женские оправы для очков,52,16,135,130
55,Vogue,VO 4050 - 352,VO4050352,Женские оправы для очков,53,17,140,137
56,Nicoleta Buchi,NB 747-01,NB74701,Женские оправы для очков,51,20,140,137
57,Optisee,SR 8011 C.1,SR8011C1,Женские оправы для очков,53,19,140,135
58,Optisee,"KIDS, SR 6066 C.04",KIDSSR6066C04,Женские оправы для очков,48,17,130,125
59,Polaroid,"PLD D389/G, DDB",PLDD389GDDB,Женские оправы для очков,54,20,150,138
60,Tulipe Noire,TN39-63,TN3963,Женские оправы для очков,54,17,135,135
61,Tulipe Noire,TN39-18,TN3918,Женские оправы для очков,54,17,135,135
62,Tulipe Noire,TN026-5,TN0265,Женские оправы для очков,51,16,135,130
63,Tulipe Noire,TN004-15,TN00415,Женские оправы для очков,52,17,135,130
64,Tulipe Noire,TN004-100,TN004100,Женские оправы для очков,52,17,135,130
65,You's,764 - 100,764100,Женские оправы для очков,51,16,135,130
66,You's,770 - 15,77015,Женские оправы для очков,52,17,140,130
67,You's,770 - 203,770203,Женские оправы для очков,52,17,140,130
68,You's,770 - 61,77061,Женские оправы для очков,52,17,140,130
69,You's,770 - 09,77009,Женские оправы для очков,52,17,140,130
70,You's,779 - 15,77915,Женские оправы для очков,52,17,130,130
71,You's,779 - 100,779100,Женские оправы для очков,52,17,130,125
72,You's,784 - 21,78421,Женские оправы для очков,48,20,140,130
73,You's,784 - 205,784205,Женские оправы для очков,48,20,140,130
74,You's,784 - 61,78461,Женские оправы для очков,48,20,140,130
75,You's,784 - 15,78415,Женские оправы для очков,48,20,140,130
76,You's,935 - 203,935203,Женские оправы для очков,49,17,130,125
77,You's,788 - 205,788205,Женские оправы для очков,52,17,135,130
78,You's,796 - 15,79615,Женские оправы для очков,50,19,135,125
79,You's,807 - 15,80715,Женские оправы для очков,51,17,135,130
80,You's,817 - 02,81702,Женские оправы для очков,51,18,135,130
81,You's,817 - 15,81715,Женские оправы для очков,51,18,135,130
82,You's,817 - 100,817100,Женские оправы для очков,51,18,135,130
83,You's,817 - 60,81760,Женские оправы для очков,51,18,135,130
84,Gucci,"GG 3742/N, VKB",GG3742NVKB,Женские оправы для очков,53,16,140,130
85,Gucci,"GG 3785, ANT",GG3785ANT,Женские оправы для очков,53,15,140,135
86,Gucci,"GG 3868, 6UB",GG38686UB,Женские оправы для очков,47,19,140,130
87,Vogue,VO 4025 - 352,VO4025352,Женские оправы для очков,53,18,135,135
88,Vogue,VO 5239 - W656,VO5239W656,Женские оправы для очков,54,16,140,135
89,Vogue,VO 4218-5137,VO42185137,Женские оправы для очков,49,19,145,125
90,Vogue,VO 4108 - 5101,VO41085101,Женские оправы для очков,51,18,135,132
91,Maxmara,"MM 1303, 0T7",MM13030T7,Женские оправы для очков,49,19,145,135
92,Bulget,BG1750T 07A,BG1750T07A,Женские оправы для очков,53,17,140,138
93,Bulget,BG1637T 05A,BG1637T05A,Женские оправы для очков,56,15,142,140
94,William Morris,CHER C1,CHERC1,Женские оправы для очков,53,17,143,140
95,William Morris,MAISIE C2,MAISIEC2,Женские оправы для очков,53,16,143,144
96,William Morris,LN50174 C1,LN50174C1,Женские оправы для очков,57,15,138,132
97,Marc Jacobs,"MARC 330, 003",MARC330003,Женские оправы для очков,50,19,145,130
98,Bulget,BG1740T 09A,BG1740T09A,Женские оправы для очков,53,18,142,136
99,William Morris,JACKIE C2,JACKIEC2,Женские оправы для очков,54,16,143,140
100,Bulget,BG1741T 07A,BG1741T07A,Женские оправы для очков,54,16,142,135
101,Bulget,BG1636 08A,BG163608A,Женские оправы для очков,55,16,140,138
102,Vogue,VO 4209-323,VO4209323,Женские оправы для очков,52,18,140,132
103,Vogue,VO 4088-352,VO4088352,Женские оправы для очков,52,18,140,130
104,Vogue,VO 5260-2554,VO52602554,Женские оправы для очков,51,19,140,135
105,Marc Jacobs,MARC 216 807,MARC216807,Женские оправы для очков,50,20,140,140
106,Maxmara,"MM 1371, FWM",MM1371FWM,Женские оправы для очков,47,20,140,135
107,Maxmara,"MM 1378/F, 789",MM1378F789,Женские оправы для очков,51,19,140,130
108,Jimmy Choo,JC 179 FA3,JC179FA3,Женские оправы для очков,53,17,140,130
109,Web,"WE 5143, 001",WE5143001,Женские оправы для очков,54,14,140,135
110,Web,"WE 5145, 052",WE5145052,Женские оправы для очков,52,18,140,135
111,Web,"WE 5145, 001",WE5145001,Женские оправы для очков,50,18,140,130
112,Web,"WE 5285, 32A",WE528532A,Женские оправы для очков,56,15,140,133
113,Tod's,TO 5119-052,TO5119052,Женские оправы для очков,52,16,140,130
114,Tod's,TO 5184-005,TO5184005,Женские оправы для очков,49,18,140,135
115,Tod's,TO 5152-055,TO5152055,Женские оправы для очков,51,17,140,140
116,Tom Ford,TF 5378-052,TF5378052,Женские оправы для очков,49,20,145,135
117,Tom Ford,TF 5376-042,TF5376042,Женские оправы для очков,54,15,135,135
118,Tom Ford,TF 5267-053,TF5267053,Женские оправы для очков,56,12,135,140
119,Tom Ford,TF 5364-020,TF5364020,Женские оправы для очков,53,15,140,135
120,Vogue,VO 4225 - 848,VO4225848,Женские оправы для очков,55,16,135,134
121,Tod's,TO 5138-003,TO5138003,Женские оправы для очков,52,16,140,135
122,Swarovski,SW 5227-048,SW5227048,Женские оправы для очков,50,19,140,135
123,Riva,8449 C6 BLK,8449C6BLK,Женские оправы для очков,50,19,140,140
124,Riva,9517 C8,9517C8,Женские оправы для очков,56,17,140,140
125,Grand,8749 C1,8749C1,Женские оправы для очков,51,19,140,131
126,Rodenstock,"R 5322, F",R5322F,Женские оправы для очков,52,17,135,135
127,Web,"WE 5140, 067",WE5140067,Женские оправы для очков,49,21,140,135
128,Guess,GU2367 BLK,GU2367BLK,Женские оправы для очков,55,17,135,135
129,Guess,GU2617 091,GU2617091,Женские оправы для очков,51,16,135,130
130,Roberto Cavalli,CAMAIORE 5029 068,CAMAIORE5029068,Женские оправы для очков,54,16,135,135
131,Just Cavalli,JC 0804-020,JC0804020,Женские оправы для очков,51,19,140,135
132,You's,937 - 60,93760,Женские оправы для очков,49,17,130,130
133,You's,1014 - 12,101412,Женские оправы для очков,51,18,135,130
134,You's,1014 - 205,1014205,Женские оправы для очков,51,18,135,130
135,You's,1014 - 15B,101415B,Женские оправы для очков,51,18,135,130
136,You's,1015 - 205,1015205,Женские оправы для очков,53,17,135,130
137,You's,1015 - 15,101515,Женские оправы для очков,53,17,135,130
138,You's,1018 - 205,1018205,Женские оправы для очков,51,18,135,135
139,You's,1018 - 12,101812,Женские оправы для очков,51,18,135,135
140,You's,1021 - 12,102112,Женские оправы для очков,52,18,140,135
141,You's,1021 - 15,102115,Женские оправы для очков,52,18,140,135
142,You's,1016 - 205,1016205,Женские оправы для очков,52,17,135,135
143,You's,1016 - 60,101660,Женские оправы для очков,52,17,135,130
144,You's,966 - 100,966100,Женские оправы для очков,49,19,135,130
145,You's,966 - 205,966205,Женские оправы для очков,49,19,135,130
146,You's,966 - 60,96660,Женские оправы для очков,49,19,135,130
147,You's,967 - 100,967100,Женские оправы для очков,52,17,135,135
148,You's,970 - 12,97012,Женские оправы для очков,52,17,135,135
149,You's,970 - 205,970205,Женские оправы для очков,52,17,135,135
150,You's,970 - 15,97015,Женские оправы для очков,52,17,135,135
151,You's,972 - 205,972205,Женские оправы для очков,51,15,135,130
152,You's,972 - 02,97202,Женские оправы для очков,51,15,135,130
153,You's,972 - 203,972203,Женские оправы для очков,51,15,135,130
154,You's,972 - 60,97260,Женские оправы для очков,51,15,135,130
155,You's,1017 - 205,1017205,Женские оправы для очков,51,18,140,125
156,You's,1017 - 100,1017100,Женские оправы для очков,51,18,140,125
157,You's,1017 - 60,101760,Женские оправы для очков,51,18,140,125
158,You's,1017 - 15,101715,Женские оправы для очков,51,18,140,125
159,You's,1018 - 60,101860,Женские оправы для очков,51,18,135,130
160,You's,957 - 21,95721,Женские оправы для очков,49,18,135,130
161,You's,929 - 12,92912,Женские оправы для очков,51,17,135,130
162,You's,935 - 12,93512,Женские оправы для очков,49,17,130,125
163,You's,1036 - 205,1036205,Женские оправы для очков,54,15,135,135
164,You's,1036 - 61,103661,Женские оправы для очков,54,15,135,135
165,You's,1036 - 60,103660,Женские оправы для очков,54,15,135,135
166,You's,1041 - 205,1041205,Женские оправы для очков,52,16,140,135
167,You's,1041 - 100,1041100,Женские оправы для очков,52,16,140,135
168,You's,1041 - 12B,104112B,Женские оправы для очков,52,16,140,135
169,You's,1043 - 15,104315,Женские оправы для очков,50,15,135,125
170,You's,1059 - 100,1059100,Женские оправы для очков,52,15,140,125
171,You's,1059 - 60,105960,Женские оправы для очков,52,15,140,125
172,You's,1100 - 15,110015,Женские оправы для очков,53,18,135,135
173,You's,911 - 21,91121,Женские оправы для очков,53,18,135,135
174,You's,911 - 21,91121,Женские оправы для очков,54,17,135,130
175,You's,873 - 12,87312,Женские оправы для очков,52,17,135,135
176,You's,886 - 12,88612,Женские оправы для очков,52,16,140,130
177,You's,835A - 100,835A100,Женские оправы для очков,50,18,135,130
178,You's,839B - 21,839B21,Женские оправы для очков,52,17,140,130
179,You's,863 - 70,86370,Женские оправы для очков,51,18,135,130
180,You's,957 - 60,95760,Женские оправы для очков,49,18,135,130
181,You's,957 - 100,957100,Женские оправы для очков,49,18,135,130
182,You's,957 - 203,957203,Женские оправы для очков,49,18,135,130
183,You's,958 - 12,95812,Женские оправы для очков,50,17,130,130
184,You's,958 - 205,958205,Женские оправы для очков,50,17,130,130
185,You's,964 - 02,96402,Женские оправы для очков,49,19,135,130
186,You's,964 - 21,96421,Женские оправы для очков,49,19,135,130
187,You's,965 - 02,96502,Женские оправы для очков,54,17,135,135
188,You's,966 - 09,96609,Женские оправы для очков,49,19,135,130
189,You's,966 - 15,96615,Женские оправы для очков,49,19,135,130
190,William Morris,BRIDGET C2,BRIDGETC2,Женские оправы для очков,54,17,143,134
191,Polaroid,"PLD D425/G, 06J",PLDD425G06J,Женские оправы для очков,56,16,145,140
192,Valentin Yudashkin,VYF 063 C03,VYF063C03,Женские оправы для очков,54,19,140,140
193,Guess,GU2670 032,GU2670032,Женские оправы для очков,52,17,135,130
194,Guess,GU2693 092,GU2693092,Женские оправы для очков,52,17,140,130
195,Guess,GU2694 083,GU2694083,Женские оправы для очков,52,18,140,135
196,Silhouette,4295-6060,42956060,Женские оправы для очков,56,17,135,140
197,Silhouette,4308-6050,43086050,Женские оправы для очков,54,19,135,136
198,La Stella,771 C1,771C1,Женские оправы для очков,55,19,145,138
199,Calvin Klein,CK 5444 610,CK5444610,Женские оправы для очков,51,18,135,135
200,Riva,8576 C1/C4,8576C1C4,Женские оправы для очков,58,17,145,145
201,Safilo,"7A 078, 010",7A078010,Женские оправы для очков,55,17,145,135
202,Hermossa,HM0258 C.3,HM0258C3,Женские оправы для очков,53,15,140,136
203,Hermossa,HMO-268 C.03,HMO268C03,Женские оправы для очков,52,18,145,138
204,Riva,9725 C3/C1,9725C3C1,Женские оправы для очков,53,19,145,141
205,Riva,9647 C6,9647C6,Женские оправы для очков,51,19,140,137
206,Riva,8659 C7,8659C7,Женские оправы для очков,60,15,145,148
207,You's,855 - 61,85561,Женские оправы для очков,52,18,140,128
208,Polivizor,MY14-AC061 C.3,MY14AC061C3,Женские оправы для очков,54,17,135,130
209,Polivizor,J2193 C.4,J2193C4,Женские оправы для очков,52,17,140,135
210,Polivizor,J2193 C.9,J2193C9,Женские оправы для очков,52,17,135,135
211,Polivizor,S0434A C.2,S0434AC2,Женские оправы для очков,56,12,140,135
212,Polivizor,3355,3355,Женские оправы для очков,53,17,135,135
213,Polivizor,J3363 C.7,J3363C7,Женские оправы для очков,54,16,135,138
214,Polivizor,J3847 C.8,J3847C8,Женские оправы для очков,50,16,140,133
215,Polivizor,MY13-AC055 C.6,MY13AC055C6,Женские оправы для очков,52,14,135,130
216,Polivizor,J3370 C.7,J3370C7,Женские оправы для очков,52,15,140,135
217,Rivera,5709 C2,5709C2,Женские оправы для очков,55,19,135,130
218,Riviera,RV0718 C5,RV0718C5,Женские оправы для очков,57,18,145,142
219,Riviera,RVS-112213 C2,RVS112213C2,Женские оправы для очков,54,16,140,133
220,Riviera,RVS-919M C4,RVS919MC4,Женские оправы для очков,52,17,140,127
221,La Stella,758 COL.165,758COL165,Женские оправы для очков,47,19,135,133
222,La Stella,LSO 1038 C3,LSO1038C3,Женские оправы для очков,54,18,140,138
223,La Stella,617 C.2,617C2,Женские оправы для очков,51,18,140,132
224,Blancia,BC184 C.3,BC184C3,Женские оправы для очков,53,19,140,135
225,Blancia,BC-266 C.2,BC266C2,Женские оправы для очков,54,21,145,135
226,Fabiano,FRD 652020 C1,FRD652020C1,Женские оправы для очков,55,16,142,135
227,La Stella,816 C1,816C1,Женские оправы для очков,54,17,140,133
228,Hermossa,HMO-315 C.03,HMO315C03,Женские оправы для очков,50,20,140,131
229,Despada,DS-992 C.4,DS992C4,Женские оправы для очков,52,17,150,135
230,Despada,DS-969 C.4,DS969C4,Женские оправы для очков,54,18,140,138
231,Ray Ban,RB 4246V-5240,RB4246V5240,Женские оправы для очков,47,19,140,133
232,Nikitana,NK8765 C4,NK8765C4,Женские оправы для очков,52,19,140,133
233,Nikitana,NK8549 C8,NK8549C8,Женские оправы для очков,51,21,140,134
234,Valentin Yudashkin,"VYF LI039, BPL",VYFLI039BPL,Женские оправы для очков,55,16,145,140
235,Valentin Yudashkin,"VY 30216, A2672",VY30216A2672,Женские оправы для очков,53,15,145,137
236,Valentin Yudashkin,"VYF 159, C03",VYF159C03,Женские оправы для очков,54,18,140,140
237,Chopard,VCHC35S 0300,VCHC35S0300,Женские оправы для очков,54,16,135,132
238,Chopard,VCHB97S 0300,VCHB97S0300,Женские оправы для очков,56,17,135,135
239,Chopard,VCHB50S 08MG,VCHB50S08MG,Женские оправы для очков,55,16,135,138
240,Chopard,VCH 182S  01GJ,VCH182S01GJ,Женские оправы для очков,53,16,140,130
241,Chopard,VCH 182S 0722,VCH182S0722,Женские оправы для очков,53,16,140,128
242,Chopard,VCH 160S 0GA7,VCH160S0GA7,Женские оправы для очков,53,16,140,137
243,Chopard,VCH 181S 01GJ,VCH181S01GJ,Женские оправы для очков,53,15,140,128
244,Chopard,VCH198S 01GQ,VCH198S01GQ,Женские оправы для очков,51,19,135,140
245,Chopard,VCH197GN 09ZB,VCH197GN09ZB,Женские оправы для очков,53,16,140,130
246,Calvin Klein,CK 5927 611,CK5927611,Женские оправы для очков,52,16,140,135
247,Calvin Klein,CK  5908 615,CK5908615,Женские оправы для очков,51,18,140,140
248,Kenzo,KZ50025I  001,KZ50025I001,Женские оправы для очков,51,17,145,135
249,Hemme Paris,98152 C1,98152C1,Женские оправы для очков,53,15,140,134
250,Koali,8302K  PP012A,8302KPP012A,Женские оправы для очков,52,17,140,130
251,Koali,20001K PR02,20001KPR02,Женские оправы для очков,45,20,135,120
252,Koali,20001K BN01,20001KBN01,Женские оправы для очков,45,20,135,122
253,Lightec,8094L GR021,8094LGR021,Женские оправы для очков,52,17,140,127
254,Lightec,8094L GG022,8094LGG022,Женские оправы для очков,52,17,140,126
255,Koali,8302K PP012,8302KPP012,Женские оправы для очков,52,17,140,130
256,Koali,8304K ND030,8304KND030,Женские оправы для очков,52,19,140,134
257,Koali,8304K PP033,8304KPP033,Женские оправы для очков,52,19,140,132
258,Koali,8194K RR032,8194KRR032,Женские оправы для очков,54,16,135,142
259,Lastrada,11050/16 C4,1105016C4,Женские оправы для очков,52,22,144,145
260,Lastrada,11041/16 C2,1104116C2,Женские оправы для очков,53,17,138,136
261,Lastrada,2011/14 C4,201114C4,Женские оправы для очков,56,15,140,136
262,Lastrada,E6354 C5,E6354C5,Женские оправы для очков,56,17,137,140
263,Lastrada,6095 C1,6095C1,Женские оправы для очков,55,18,135,135
264,Maxmara,"MM 1247, 5FC",MM12475FC,Женские оправы для очков,51,19,140,140
265,Maxmara,"MM 1222, OGN",MM1222OGN,Женские оправы для очков,54,19,140,135
266,Maxmara,"MM 1202, 8XJ",MM12028XJ,Женские оправы для очков,55,16,140,132
267,Maxmara,"MM 1128, 0A1O",MM11280A1O,Женские оправы для очков,54,16,135,135
268,Maxmara,"MM 1202, RHP",MM1202RHP,Женские оправы для очков,55,16,140,130
269,Maxmara,"MM 1249, 5FC",MM12495FC,Женские оправы для очков,55,17,140,138
270,Guess,GU2576 052,GU2576052,Женские оправы для очков,51,18,135,140
271,Guess,GU2554 001,GU2554001,Женские оправы для очков,52,17,135,130
272,Guess,GU2462 BRN,GU2462BRN,Женские оправы для очков,51,18,135,131
273,Guess,GU2333 DKPUR,GU2333DKPUR,Женские оправы для очков,52,18,135,130
274,Maxmara,"MM 1322, 807",MM1322807,Женские оправы для очков,55,16,145,135
275,Guess,GU2554 005,GU2554005,Женские оправы для очков,52,17,135,130
276,Guess,GU2516 001,GU2516001,Женские оправы для очков,49,17,135,125
277,Guess,GU2417 GRN,GU2417GRN,Женские оправы для очков,52,15,135,130
278,Guess,GU2305 BLK,GU2305BLK,Женские оправы для очков,52,16,140,128
279,Guess,GU2274 AMB,GU2274AMB,Женские оправы для очков,52,16,135,130
280,Nikitana,80026 C2,80026C2,Женские оправы для очков,52,19,144,142
281,Nikitana,NI3561 C5,NI3561C5,Женские оправы для очков,54,17,142,136
282,Glodiatr,"RED (+1,0; +1,5; +2,0; +2,5; +4,0)",RED1015202540,Женские оправы для очков,43,16,135,132
283,Ecoflex,EF 038L C.02,EF038LC02,Женские оправы для очков,58,15,140,145
284,Ecoflex,EF 029 C.2,EF029C2,Женские оправы для очков,57,17,140,140
285,Ecoflex,EF 62TF C.2,EF62TFC2,Женские оправы для очков,50,18,135,135
286,Ecoflex,EF 060L C.03,EF060LC03,Женские оправы для очков,53,16,138,135
287,Ecoflex,EF 055L C.03,EF055LC03,Женские оправы для очков,54,16,138,128
288,Ecoflex,EF 67TF C.3,EF67TFC3,Женские оправы для очков,53,17,138,140
289,Ecoflex,EF 67TF C.2,EF67TFC2,Женские оправы для очков,53,17,138,140
290,Marc Jacobs,"MARC 477, 6K3",MARC4776K3,Женские оправы для очков,51,17,140,135
291,Missoni,"MMI 0044, 2W8",MMI00442W8,Женские оправы для очков,53,16,140,134
292,Fabiano,FA 672012 C1,FA672012C1,Женские оправы для очков,55,17,145,133
293,Vogue,VO 5310-W44,VO5310W44,Женские оправы для очков,49,20,140,134
294,Levis,LS 1001 1106,LS10011106,Женские оправы для очков,48,16,135,123
295,Athena,"ОПРАВА ATHEMA, AT14518 C129",ОПРАВАATHEMAAT14518C129,Женские оправы для очков,52,15,132,132
296,Bvlgari,4053-B 5038,4053B5038,Женские оправы для очков,52,17,135,130
297,Prodesign,6118 C2012,6118C2012,Женские оправы для очков,51,17,135,130
298,Ana Hickmann,AH1287 02A,AH128702A,Женские оправы для очков,51,17,135,130
299,Ana Hickmann,AH1277 02A,AH127702A,Женские оправы для очков,51,18,135,132
300,Ana Hickmann,HI6042 G21,HI6042G21,Женские оправы для очков,52,16,150,130
301,Ana Hickmann,HI6029A A02,HI6029AA02,Женские оправы для очков,51,18,145,135
302,Ana Hickmann,HI6021 D01,HI6021D01,Женские оправы для очков,48,18,140,130
303,Ana Hickmann,AH6254 G21,AH6254G21,Женские оправы для очков,55,16,145,132
304,Ana Hickmann,AH6244A G21,AH6244AG21,Женские оправы для очков,52,16,145,130
305,Ana Hickmann,AH6234 A01,AH6234A01,Женские оправы для очков,53,16,140,134
306,Ana Hickmann,AH6235 H02,AH6235H02,Женские оправы для очков,51,16,140,130
307,Ana Hickmann,AH6231 D03,AH6231D03,Женские оправы для очков,50,18,140,133
308,Ana Hickmann,AH6199 H03,AH6199H03,Женские оправы для очков,52,16,140,130
309,Ana Hickmann,AH6154 B05,AH6154B05,Женские оправы для очков,52,17,140,130
310,Ana Hickmann,AH6156 E35,AH6156E35,Женские оправы для очков,54,13,140,130
311,Ana Hickmann,AH6156 C08,AH6156C08,Женские оправы для очков,54,13,140,131
312,Ana Hickmann,AH6142 G22,AH6142G22,Женские оправы для очков,52,16,135,128
313,Bulget,BG6192 A01,BG6192A01,Женские оправы для очков,51,17,142,130
314,Bulget,BG6208 G21,BG6208G21,Женские оправы для очков,54,18,145,134
315,Bulget,BG4034 T01,BG4034T01,Женские оправы для очков,53,16,145,131
316,Bulget,BG1458 09A,BG145809A,Женские оправы для очков,53,16,140,132
317,Belluti,"ОПРАВА BELUTTI, BDP0105 C001",ОПРАВАBELUTTIBDP0105C001,Женские оправы для очков,54,16,142,135
318,Polaroid,"PLD D396/G, QWU",PLDD396GQWU,Женские оправы для очков,53,19,145,139
319,Polaroid,"PLD D389/G, RHL",PLDD389GRHL,Женские оправы для очков,54,20,150,140
320,Genex,G524 C03,G524C03,Женские оправы для очков,56,17,140,143
321,Genex,G526 C2,G526C2,Женские оправы для очков,52,16,140,133
322,Genex,G526 C107,G526C107,Женские оправы для очков,52,16,140,133
323,Genex,G529 C63,G529C63,Женские оправы для очков,53,16,140,134
324,Genex,G531 C107,G531C107,Женские оправы для очков,54,16,140,132
325,Genex,G531 C2,G531C2,Женские оправы для очков,54,16,140,132
326,Genex,G5629 C103,G5629C103,Женские оправы для очков,55,16,140,140
327,Genex,G5604 C90,G5604C90,Женские оправы для очков,50,18,140,132
328,Leonardo D,LD 599 40-D,LD59940D,Женские оправы для очков,53,16,135,132
329,Leonardo D,LD 611 10-B,LD61110B,Женские оправы для очков,57,16,135,140
330,Roy Robson,TITAN 60115 - 1,TITAN601151,Женские оправы для очков,50,17,145,130
331,Bulget,BG1747 06A,BG174706A,Женские оправы для очков,55,17,140,135
332,Bulget,BG1735 09B,BG173509B,Женские оправы для очков,51,18,140,135
333,Bulget,BG1762 06A,BG176206A,Женские оправы для очков,50,18,140,134
334,Sferoflex,SF 1574 -1020,SF15741020,Женские оправы для очков,53,16,130,136
335,Sferoflex,SF 2571- 488,SF2571488,Женские оправы для очков,54,16,140,137
336,Ventoe,VCL 4208 C13,VCL4208C13,Женские оправы для очков,53,20,140,134
337,Bulget,BG1646T 09A,BG1646T09A,Женские оправы для очков,57,17,135,135
338,Bulget,BG1646T 05A,BG1646T05A,Женские оправы для очков,53,16,142,137
339,Bulget,BG1737T 01A,BG1737T01A,Женские оправы для очков,53,17,142,135
340,Bulget,BG1750T 01A,BG1750T01A,Женские оправы для очков,53,17,140,136
341,William Morris,LN50174 C2,LN50174C2,Женские оправы для очков,57,15,138,135
342,William Morris,LN50191 C2,LN50191C2,Женские оправы для очков,53,16,143,137
343,William Morris,LN50250 C3,LN50250C3,Женские оправы для очков,54,17,143,134
344,William Morris,LN50112 C3,LN50112C3,Женские оправы для очков,48,18,145,135
345,Riviera,RVS-112222 C5,RVS112222C5,Женские оправы для очков,53,16,143,132
