	Бренд	Модель	Ширина линзы (мм)	Мост (мм)	Длина заушника (мм)	Ширина оправы (мм)
447	Synchrony	Synchrony Access 1.5 HMC (тип А)				
448	Synchrony	Synchrony Access 1.5 HMC (тип В)				
449	Synchrony	Synchrony Access 1.6 HMC (тип А)				
450	Synchrony	Synchrony Access 1.6 HMC (тип В)				
451	Synchrony	Synchrony Single Vision Sun 1.5  Brown 85%				
452	Synchrony	Synchrony Single Vision Sun 1.5 Grey 85%				
453	Synchrony	Synchrony Single Vision Sun 1.5 Pioneer 85%				
454	Synchrony	Synchrony Single Vision Sun 1.6 Brown 85%				
455	Synchrony	Synchrony Single Vision Sun 1.6 Grey 85%				
456	Synchrony	Synchrony Single Vision Sun 1.6 Pioneer 85%				
457	Silicon Baby	NV163436	36	14	105	105
458	Silicon Baby	NV163034	34	14	105	110
459	Silicon Baby	NV211241	41	17	107	125
460	Silicon Baby	NV163438	38	15	122	110
461	Silicon Baby	NV183236	36	14	105	100
462	Nano	NAO3180448	48	15	132	125
463	Nano	NAO3050547	47 (45)	14(16)	136(127)	120
464	Top Vision	SP 1.67 HMC				
465	Jessie Kids	1379 c.2	51	18	140	125
466	Jessie Kids	JSWE-1408 c.1	49	15	135	125
467	Matsuda	Компьютерные очки DEFILE 62045	53	19	145	135
468	Essilor	Orma Thin 1.5 Crizal Prevencia				
469	Tulipe Noire	TN39-63	54	17	135	135
470	Tulipe Noire	TN39-18	54	17	135	135
471	Tulipe Noire	TN026-5	51	16	135	130
472	Tulipe Noire	TN004-15	52	17	135	130
473	Tulipe Noire	TN004-100	52	17	135	130
474	Youpi! Kids	Y013-12B	42	17	125	115
475	Youpi! Kids	Y025-60	44	16	120	115
476	Youpi! Kids	Y017-12	44	16	130	115
477	Youpi! Kids	Y014-12	42	16	125	115
478	Youpi! Kids	Y019-21	44	16	125	115
479	Youpi! Kids	Y008-15	42	17	120	115
480	Youpi! Kids	Y017-12B	44	16	130	110
481	Youpi! Kids	Y008-12	42	17	120	115
482	Youpi! Kids	Y017-203	44	16	130	110
483	Youpi! Kids	Y024-60	43	20	120	115
484	Youpi! Kids	Y014-07	42	16	125	115
485	Youpi! Kids	Y021-12	44	16	120	120
486	Youpi! Kids	Y014-100	42	16	125	115
487	Youpi! Kids	Y021-21	44	16	120	120
488	Youpi! Kids	Y013-21	42	17	125	115
489	Youpi! Kids	Y014-70	42	16	125	115
490	Youpi! Kids	Y014-15	42	16	125	115
491	Youpi! Kids	Y015-21	44	17	125	115
492	Youpi! Kids	Y015-12	44	17	125	115
493	Youpi! Kids	Y018-100	44	15	130	115
494	Youpi! Kids	Y018-21	44	15	130	115
495	Youpi! Kids	Y018-12	44	15	130	115
496	Youpi! Kids	Y019-15	44	16	125	115
497	Youpi! Kids	Y019-203	44	16	125	115
498	Youpi! Kids	Y019-12	44	16	125	115
499	Youpi! Kids	Y022-21	46	16	120	115
500	Youpi! Kids	Y022-12	46	16	120	115
501	Youpi! Kids	Y032-61	45	17	120	115
502	Youpi! Kids	Y034-100	44	16	115	110
503	Youpi! Kids	Y034-203	44	16	115	110
504	Youpi! Kids	Y041-61	46	15	120	115
505	Youpi! Kids	Y041-204	46	15	120	115
506	Youpi! Kids	Y052B-05	46	16	120	115
507	Youpi! Kids	Y052B-02	46	16	120	115
508	Youpi! Kids	YO73-42	47	15	120	120
509	Youpi! Kids	YO74-12	46	15	120	115
510	Youpi! Kids	YO74-60	46	15	120	115
511	Youpi! Kids	Y026-100	41	18	120	115
512	Youpi! Kids	Y038-21	45	18	120	120
513	Youpi! Kids	Y042-15	45	17	125	120
514	Youpi! Kids	Y042-05	45	17	125	120
515	Youpi! Kids	Y042-23	45	17	125	120
516	Youpi! Kids	Y048-21	45	15	120	115
517	Youpi! Kids	Y049-21	42	14	115	110
518	Youpi! Kids	Y049-05A	42	14	115	110
519	Youpi! Kids	Y069-205	46	15	120	115
520	You*s Kids	Оправа You'S Kids 730 - 205	43	18	135	120
521	You*s Kids	Оправа You'S Kids 730 - 12	43	18	135	120
522	You*s Kids	Оправа You'S Kids 755 - 70	47	17	130	125
523	You*s Kids	Оправа You'S Kids 758 - 21	49	17	135	125
524	You*s Kids	Оправа You'S Kids 758 - 15B	49	17	135	125
525	You*s Kids	Оправа You'S Kids 769 - 15B	47	17	140	120
526	You*s Kids	Оправа You'S Kids 777 - 05	47	17	130	120
527	You*s Kids	Оправа You'S Kids 787 - 100	49	16	130	120
528	You*s Kids	Оправа You*S Kids 787-60	49	16	130	120
529	You*s Kids	Оправа You*S Kids 787-12	49	16	130	115
530	You*s Kids	Оправа You*S Kids 796-205	50	19	135	125
531	You*s Kids	Оправа You*S Kids 796-100	50	19	135	125
532	You*s Kids	Оправа You*S Kids 796-15B	50	19	135	130
533	You*s Kids	Оправа You*S Kids 800-21	43	20	125	120
534	You*s Kids	Оправа You*S Kids 800-100	43	20	125	120
535	You*s Kids	Оправа You*S Kids 800-203	43	20	125	120
536	You*s Kids	Оправа You*S Kids 800-12	43	20	125	120
537	You*s Kids	Оправа You*S Kids 820-21	47	17	130	120
538	You*s Kids	Оправа You*S Kids 922-100	50	16	135	125
539	You*s Kids	Оправа You*S Kids 954-23	57	17	130	130
540	You*s Kids	Оправа You*S Kids 954-21	50	17	130	130
541	You*s Kids	Оправа You*S Kids 961-100	49	17	130	125
542	De Stijl	Оправа DeStijl, S1645 (без футляра)	54	15	140	140
543	You's	Оправа You'S 764 - 100	51	16	135	130
544	You's	Оправа You'S 765 - 61	51	19	140	135
545	You's	Оправа You'S 767 - 61	52	18	140	130
546	You's	Оправа You'S 770 - 15	52	17	140	130
547	You's	Оправа You'S 770 - 203	52	17	140	130
548	You*s Kids	Оправа You'S Kids 730 - 15	44	18	135	120
549	You*s Kids	Оправа You*S Kids 800-15	43	20	125	120
550	You's	Оправа You'S 770 - 61	52	17	140	130
551	You's	Оправа You'S 770 - 09	52	17	140	130
552	You's	Оправа You'S 779 - 15	52	17	130	130
553	You's	Оправа You'S 976 - 205	49	20	140	130
554	You's	Оправа You'S 779 - 100	52	17	130	125
555	You's	Оправа You'S 784 - 21	48	20	140	130
556	You's	Оправа You'S 784 - 205	48	20	140	130
557	You's	Оправа You'S 784 - 61	48	20	140	130
558	You's	Оправа You'S 784 - 15	48	20	140	130
559	You's	Оправа You'S 786 - 15	52	18	140	130
560	You's	Оправа You'S 977 - 15	54	18	140	135
561	You's	Оправа You'S 935 - 203	49	17	130	125
562	You's	Оправа You'S 833 - 21	52	17	145	125
563	You's	Оправа You'S 788 - 205	52	17	135	130
564	You's	Оправа You'S 789 - 205	54	17	145	130
565	You's	Оправа You'S 789 - 203	54	17	145	135
566	You's	Оправа You'S 979 - 203	56	18	140	140
567	You's	Оправа You'S 790 - 205	53	20	140	135
568	You's	Оправа You'S 790 - 15	53	20	140	135
569	You's	Оправа You'S 796 - 15	50	19	135	125
570	You's	Оправа You'S 807 - 15	51	17	135	130
571	You's	Оправа You'S 814 - 15B	51	18	140	135
572	You's	Оправа You'S 817 - 02	51	18	135	130
573	You's	Оправа You'S 817 - 15	51	18	135	130
574	You's	Оправа You'S 817 - 100	51	18	135	130
575	You's	Оправа You'S 817 - 60	51	18	135	130
576	You's	Оправа You'S 825 - 01	56	18	140	135
577	You's	Оправа You'S 825-32	56	18	135	130
578	Nano	NAO50053	42	15	107	110
579	Nano	NAO2040343	43	15	125	120
580	You's	Оправа You'S 828 - 15B	54	18	135	135
581	You's	Оправа You'S 828 - 203	54	18	140	135
582	Polarstar	PSS-0811 c.1	48	18	145	130
583	Polarstar	PSS-0706 c.3	59	18	145	140
584	Sunstar	17012 c.04	53	20	145	140
585	Silicon Baby	NV203038	38	13	122	113
586	Silicon Baby	NV163036	36	14	105	110
587	Hoya	EnRoute 1.6				
588	Hoya	EnRoute 1.67				
589	Hoya	EnRoute Pro 1.6				
590	Hoya	EnRoute Pro 1.67				
591	Hoya	EnRoute 1.6 Progressive				
592	Hoya	EnRoute 1.67 Progressive				
593	Hoya	EnRoute Pro 1.6 Progressive				
594	Hoya	EnRoute Pro 1.67 Progressive				
595	Leonardo D.	Оправа Leonardo D. LD 600 70-D	56	16	140	138
596	Fisher Price Kids	FPCL001 PRP (47)	47	17	130	123
597	Jaguar	Оправа JAGUAR 31701-6412	55	19	140	135
598	Jaguar	Оправа JAGUAR 33085-6100	57	14	140	135
599	Jaguar	JA 33115 - 3100	60	16	145	144
600	Andy Wolf	Оправа Andy Wolf 4574 col. b	54	16	145	128
601	Andy Wolf	Оправа Andy Wolf 4562 col.a	58	14	145	140
602	Gucci	GG 3742/N, VKB	53	16	140	130
603	Gucci	GG 3785, ANT	53	15	140	135
604	Gucci	GG 3868, 6UB	47	19	140	130
605	Andy Wolf	Reverence, col.f	59	16	140	150
606	Andy Wolf	Desire, col.c	57	16	140	135
607	Andy Wolf	Socializer, col.e	60	13	140	145
608	Vogue	VO 5355-2842	51	16	135	128
609	Vogue	VO 4024 - 352	52	18	135	132
610	Vogue	VO 4178-5078	52	18	135	132
611	Vogue	VO 4025 - 352	53	18	135	135
612	Vogue	VO 5239 - W656	54	16	140	135
613	Vogue	VO 4218-5137	49	19	145	125
614	Vogue	VO 4108 - 5101	51	18	135	132
615	Silicon Baby	NV202043	43	14	122	113
616	Nano	NAO3040142 (620140)	42(40)	12(14)	117(107)	105
617	Nano	NAO621942H	42	15	107	115
618	Prada	VPS 10A, TIQ-1O1	54	17	140	135
619	Prada	VPS 03E, 1AB-1O1	53	16	145	141
620	Vogue	VO 2963-S, 246348	53	20	140	140
621	Vogue	VO 4079-S, 280/11	66	17	135	140
622	Vogue	VO 4111-S, 323/7A	55	17	135	140
623	Jimmy Choo	GOTHA/S 68I	50	22	145	135
624	Maxmara	MM 1303, 0T7	49	19	145	135
625	Tommy Hilfiger	TH 1649/S OFY	58	17	140	140
626	Bulget	BG1750T 07A	53	17	140	138
627	Bulget	BG1637T 05A	56	15	142	140
628	William Morris	CHER C1	53	17	143	140
629	William Morris	MAISIE C2	53	16	143	144
630	Bulget	BG1740T 05B	53	18	142	137
631	William Morris	LN50174 C1	57	15	138	132
632	Boss Hugo Boss	Солнцезащитные очки Hugo Hugo Boss, HG 1063/S, 2680L	64	20	150	145
633	Carrera	CARRERA 2016T/S, OIT	53	17	135	133
634	Pensne	PK-Z	41			99
635	Bulget	BG1751T 09A	53	17	140	135
636	Pensne	PK-S	41			100
637	Barbie Kids	BBCL003, BLK	47	17	130	125
638	Marc Jacobs	MARC 105/S, D28	53	21	145	140
639	Marc Jacobs	MARC 330, 003	50	19	145	130
640	Marc Jacobs	MARC 138/S, CSA	51	19	145	140
641	Marc Jacobs	MARC DAISY/S, CCP	52	19	145	140
642	Marc Jacobs	MARC 106/S, D28	54	19	145	145
643	Max&amp;co	MAX&amp;CO 0040, 69Y	53	18	140	136
644	Bulget	BG1740T 09A	53	18	142	136
645	Max&amp;co	MAX&amp;CO 0040, 55E	53	18	140	137
646	Max&amp;co	MAX&amp;CO 0050, 66A	52	18	140	132
647	Max&amp;co	MAX&amp;CO 309/S, P56	49	23	145	135
648	Max&amp;co	MAX&amp;CO 0043, 92W	55	16	140	141
649	Max&amp;co	MAX&amp;CO 291/S, 4K7	51	18	145	135
650	Silicon Baby	NV162038	38	15	122	115
651	Nano	NAO620842H	42	15	107	113
652	Fun Kids	FH-22 c.181	42	18	140	130
653	Dosuno	DU125408	54	19	150	140
654	Nanosun Kids	Солнцезащитные очки NANOSUN, NS 57233	42	17	105	113
655	Crocs Kids	CF4027 col.20PK	51	17	138	132
656	Crocs Kids	CF3142 col.20BK	48	18	138	130
657	Crocs Kids	JR058 col.20OE	48	15	125	120
658	Polaroid Kids	PLD D805, SF9	47	15	130	125
659	Polaroid Kids	PLD D801, VSY	47	16	130	125
660	Polaroid Kids	PLD D804, 24D	48	16	130	125
661	Montblanc	MB 659S, 52F	47	22	140	135
662	Montblanc	MB 605S, 02C	56	18	145	140
663	Emilio Pucci	EP 35 52F	55	19	140	145
664	Bulget	BG9173 H01	54	19	140	140
665	Bulget	BG3318M 02AP	53	19	145	137
666	Bulget	BG5199M D01P	60	16	138	146
667	Emilio Pucci	EP 20 55T	51	21	140	135
668	Emilio Pucci	EP 52 15C	60	13	135	140
669	Bulget	BG3324 09A	60	16	142	142
670	Bulget	BG3314M 06AP	53	20	145	140
671	Bulget	BG3319M 01AP	53	19	145	134
672	Bulget	BGY9000 H01P	50	18	140	132
673	Bulget	BGY9001 H01P	50	19	140	133
674	Bulget	BG9153M T01	56	16	145	143
675	Guess	GU7477  01A	53	18	135	140
676	William Morris	JACKIE C2	54	16	143	140
677	Balenciaga	BA 0055 20A	52	19	140	155
678	Balenciaga	BA 0054 20B	49	22	140	150
679	Marciano	Солнцезащитные очки MARSIANO, GM0769 01B	54	15	135	135
680	Bulget	BG1741T 07A	54	16	142	135
681	Marciano	GM0739 71B	57	17	135	135
682	Bulget	BG1636 08A	55	16	140	138
683	Roberto Cavalli	Zaurak 1018 68B	55	17	140	130
684	Swarovski	FARREl SW109  21F	56	18	135	140
685	Dsquared2	LOLLO DQ166 col.52N	55	16	140	130
686	Dsquared2	JONATHAN DQ0236 col.52N	50	21	145	135
687	Dsquared2	GREGG DQ 206 col.90W	58	13	145	140
688	Tom Ford	TF 556, 52G	53	17	145	140
689	Tom Ford	TF 517, 69T	55	19	140	140
690	Tom Ford	TF 505, 28E	58	14	145	135
691	Tom Ford	TF 236, 52Q	58	15	145	140
692	Tom Ford	TF 45, 05B	51	20	135	135
693	Tom Ford	TF 518, 56W	58	14	140	140
694	Web	WE0193 02Q	135	17	140	140
695	Harley Davidson	HD0968X 02D	62	15	130	141
696	Harley Davidson	HD0965X 02D	65	13	120	146
697	Valentin Yudashkin	Солнцезащитные очки V.Yudashkin, VY 30045 A3863 FX	55	16	140	140
698	Valentin Yudashkin	Солнцезащитные очки V.Yudashkin, VYS 73 C3	57	17	145	140
699	Valentin Yudashkin	Солнцезащитные очки V.Yudashkin, VY 30060 A2672 AG	55	16	140	145
700	Valentin Yudashkin	Солнцезащитные очки V.Yudashkin, VY 74220 A4150 FA	54	22	140	145
701	Valentin Yudashkin	Солнцезащитные очки V.Yudashkin, VY FLUXUS 05	63	22	135	140
702	Valentin Yudashkin	Солнцезащитные очки V.Yudashkin, VYS 67 C4	57	18	145	140
703	Valentin Yudashkin	Солнцезащитные очки V.Yudashkin, VY 9691 B798 CO	58	14	140	140
704	Vogue	VO 4209-323	52	18	140	132
705	Vogue	VO 4088-352	52	18	140	130
706	Vogue	VO 5260-2554	51	19	140	135
707	Diesel	DL 0216 87Z	52	16	140	140
708	Diesel	DL 0216 72C	52	16	140	140
709	Diesel	DL 0225 83Q	55	15	140	135
710	Diesel	DL 0234 92Z	52	18	135	140
711	Diesel	DL 0214 02A	56	17	145	140
712	Diesel	DL 0238 25B	59	13	140	145
713	Sunvision	Солнцезащитные очки SunVision 15019-1	53	17	140	140
714	Sunvision	Солнцезащитные очки SunVision 15027-1	57	17	135	140
715	Sunvision	Солнцезащитные очки SunVision 15029-2	54	17	140	140
716	Marc Jacobs	MARC 216 807	50	20	140	140
717	Marc Jacobs	MARC 132 807	53	17	140	135
718	Timberland	TB9280-H 01R	59	16	145	145
719	Maxmara	MM 0039, 59F	51	18	140	135
720	Maxmara	MM 0034, 08A	60	15	140	143
721	Maxmara	MM 1371, FWM	47	20	140	135
722	Maxmara	MM 1378/F, 789	51	19	140	130
723	Maxmara	MM 0041, 01A	56	17	140	146
724	Jimmy Choo	JC 179 FA3	53	17	140	130
725	Sunvision	Солнцезащитные очки SunVision 15031-3	66	18	125	140
726	Ermenegildo Zegna	EZ 5038 015	50	21	145	130
727	Web	WE 5143, 001	54	14	140	135
728	Web	WE 5145, 052	52	18	140	135
729	Web	WE 5145, 001	50	18	140	130
730	Web	WE 5285, 32A	56	15	140	133
731	Web	WE 5117, 001	53	17	145	140
732	Web	WE 5119, 001	53	15	145	140
733	Web	WE 5120, 001	54	15	145	140
734	Tod's	TO 5119-052	52	16	140	130
735	Tod's	TO 5184-005	49	18	140	135
736	Tod's	TO 5152-055	51	17	140	140
737	Carrera	CARRERA HYPERFIT 24, 807	54	17	140	138
738	Tom Ford	TF 5378-052	49	20	145	135
739	Tom Ford	TF 5376-042	54	15	135	135
740	Tom Ford	TF 5267-053	56	12	135	140
741	Tom Ford	TF 5473-052	51	20	140	135
742	Tom Ford	TF 5354-075	53	14	140	135
743	Tom Ford	TF 5372-048	54	16	145	140
744	Tom Ford	TF 5364-020	53	15	140	135
745	Nano	NAO621542SC	42	15	107	113
746	Grand Voyage	1711 01Y	52	20	140	135
747	Haven	MERIDIAN 3H5607S	62	15	140	140
748	Boss Hugo Boss	BOSS 1350/F, KB7	49	21	145	138
749	Seventh Street Kids	Оправа Sevenht Street Kids, S 257, X2P	44	19	140	125
750	Nano	NAO630547	47	16	127	123
751	Vogue	VO 4225 - 848	55	16	135	134
752	Matsuda	Компьютерные очки Ralph, RP 8138 c.2	45	19	140	137
753	Nano	NAO710142	42	15	127	104
754	Tod's	TO 5138-003	52	16	140	135
755	Swarovski	SW 5227-048	50	19	140	135
756	Riva Kids	9556 C8/C7	48	14	120	120
757	Riva Kids	9556 C8	48	14	120	120
758	Rivera	Оправа RIVERA 5685 C1	52	19	135	132
759	Riva	Оправа RIVA 8449 C6 BLK	50	19	140	140
760	Disney Cars Kids	DC AA043 C93	46	15	125	125
761	Disney Cars Kids	DC AA033 C92	47	16	125	125
762	Riva	Оправа RIVA 9517 C8	56	17	140	140
763	Riva	Очки RIVA 8512 C6M/C3 с прогрессивными линзами Essilor Xion 1.5	54	17	140	137
764	Synchrony	Synchrony Single Vision 1.5 PhotoFusion Brown HMC+				
765	Ray Ban	RB 6360-2863	51	20	145	140
766	Ray Ban	RB 7086-2000	51	18	140	130
767	Ray Ban Junior	RB 1053-4064	45	18	130	125
768	Ray Ban Junior	RB 1531-3803	48	16	130	127
769	Grand	Оправа GRAND 8749 C1	51	19	140	131
770	Nano	NAO3180444	44	14	120	113
771	Nano	NAO622042	42	15	107	113
772	Rodenstock	R2569, B	55	15	140	130
773	Rodenstock	R 2608, D	56	15	145	140
774	Rodenstock	R 5322, F	52	17	135	135
775	Emporio Armani	EA 1041-3131	57	17	140	138
776	Web	WE 5140, 067	49	21	140	135
777	Guess	GU2367 BLK	55	17	135	135
778	Guess	GU2617 091	51	16	135	130
779	Roberto Cavalli	Camaiore 5029 068	54	16	135	135
780	Just Cavalli	JC 0804-020	51	19	140	135
781	You's	Оправа You'S 936 - 09	54	18	140	140
782	Fisher Price Kids	FPM007 C12 (41)	41	16	115	113
783	You's	Оправа You'S 937 - 60	49	17	130	130
784	You's	Оправа You'S 938 - 203	51	18	135	135
785	You's	Оправа You'S 938 - 100	51	18	135	135
786	Lectio Risus	BLF005 c.4	48	20	145	130
787	Lectio Risus	M008 C1/F (+1,0)	48	20	140	130
788	Lectio Risus	BLF003 c.3	51	19	140	135
789	Lectio Risus	М008 С3/F (+3,5)	48	20	140	130
790	Grand Voyage	1704 06BR	63	16	140	145
791	You's	Оправа You'S 1014 - 12	51	18	135	130
792	You's	Оправа You'S 1014 - 205	51	18	135	130
793	You's	Оправа You'S 1014 - 15B	51	18	135	130
794	You's	Оправа You'S 1015 - 205	53	17	135	130
795	You's	Оправа You'S 1015 - 15	53	17	135	130
796	You's	Оправа You'S 1015 - 60	53	17	135	130
797	You's	Оправа You'S 1018 - 205	51	18	135	135
798	You's	Оправа You'S 1018 - 12	51	18	135	135
799	You's	Оправа You'S 1021 - 12	52	18	140	135
800	You's	Оправа You'S 1021 - 15	52	18	140	135
801	You's	Оправа You'S 1024 - 09	55	17	140	135
802	You's	Оправа You'S 1016 - 205	52	17	135	135
803	You's	Оправа You'S 1025 - 100	53	19	140	130
804	You's	Оправа You'S 1016 - 60	52	17	135	130
805	You's	Оправа You'S 1025 - 61	53	19	140	135
806	You's	Оправа You'S 1025 - 15	53	19	140	135
807	You's	Оправа You'S 966 - 100	49	19	135	130
808	You's	Оправа You'S 966 - 205	49	19	135	130
809	You's	Оправа You'S 966 - 60	49	19	135	130
810	You's	Оправа You'S 967 - 100	52	17	135	135
811	You's	Оправа You'S 970 - 12	52	17	135	135
812	You's	Оправа You'S 970 - 205	52	17	135	135
813	You's	Оправа You'S 970 - 15	52	17	135	135
814	You's	Оправа You'S 972 - 205	51	15	135	130
815	You's	Оправа You'S 972 - 02	51	15	135	130
816	You's	Оправа You'S 972 - 203	51	15	135	130
817	You's	Оправа You'S 972 - 60	51	15	135	130
818	You's	Оправа You'S 1017 - 205	51	18	140	125
819	You's	Оправа You'S 1017 - 100	51	18	140	125
820	You's	Оправа You'S 1017 - 60	51	18	140	125
821	You's	Оправа You'S 1017 - 15	51	18	140	125
822	You's	Оправа You'S 1018 - 60	51	18	135	130
823	You's	Оправа You'S 978 - 15	56	18	140	135
824	You's	Оправа You'S 978 - 05	56	18	140	135
825	You's	Оправа You'S 978 - 21	56	18	140	135
826	You's	Оправа You'S 956 - 21	50	19	130	130
827	You's	Оправа You'S 956 - 203	50	19	130	130
828	You's	Оправа You'S 957 - 21	49	18	135	130
829	You's	Оправа You'S 835B - 61	52	18	135	140
830	You's	Оправа You'S 927 - 60	54	19	140	140
831	You's	Оправа You'S 929 - 12	51	17	135	130
832	You's	Оправа You'S 931 - 15	54	18	140	135
833	You's	Оправа You'S 931 - 60	54	18	140	135
834	You's	Оправа You'S 935 - 12	49	17	130	125
835	You's	Оправа You'S 935 - 15	49	17	130	125
836	You's	Оправа You'S 808 - 205	53	19	140	135
837	You's	Оправа You'S 1036 - 205	54	15	135	135
838	You's	Оправа You'S 1036 - 61	54	15	135	135
839	You's	Оправа You'S 1036 - 60	54	15	135	135
840	You's	Оправа You'S 1041 - 205	52	16	140	135
841	You's	Оправа You'S 1041 - 100	52	16	140	135
842	You's	Оправа You'S 1041 - 60	52	16	140	135
843	You's	Оправа You'S 1041 - 12B	52	16	140	135
844	You's	Оправа You'S 1043 - 15	50	15	135	125
845	You's	Оправа You'S 1059 - 100	52	15	140	125
846	You's	Оправа You'S 1059 - 60	52	15	140	125
847	You's	Оправа You'S 981 - 203	55	19	140	140
848	You's	Оправа You'S 983 - 203	55	19	140	140
849	You's	Оправа You'S 1100 - 15	53	18	135	135
850	You's	Оправа You'S 911 - 21	53	18	135	135
851	You's	Оправа You'S 834 - 15B	54	19	145	140
852	You's	Оправа You'S 834 - 15	54	19	145	135
853	You's	Оправа  You'S 911 - 21	54	17	135	130
854	You's	Оправа You'S 873 - 12	52	17	135	135
855	You's	Оправа You'S 886 - 12	52	16	140	130
856	Silicon Baby	NV215238	38	16	110	115
857	You's	Оправа You'S 835A - 100	50	18	135	130
858	You's	Оправа You'S 837 - 63	55	18	140	135
859	You's	Оправа You'S 839B - 21	52	17	140	130
860	You's	Оправа You'S 922 - 203	50	16	135	125
861	You's	Оправа You'S 845 - 05	53	17	145	140
862	You's	Оправа You'S 845 - 01	53	17	145	140
863	You's	Оправа  You'S 854 - 100	50	19	135	135
864	You's	Оправа You'S 846 - 31	54	18	140	135
865	You's	Оправа You'S 855 - 09	52	18	140	130
866	You's	Оправа You'S 855 - 31	52	18	140	130
867	You's	Оправа You'S 1009 - 15	52	18	140	130
868	You's	Оправа You'S 863 - 70	51	18	135	130
869	You's	Оправа You'S 957 - 60	49	18	135	130
870	You's	Оправа You'S 957 - 100	49	18	135	130
871	You's	Оправа You'S 957 - 203	49	18	135	130
872	You's	Оправа You'S 958 - 12	50	17	130	130
873	You's	Оправа You'S 958 - 205	50	17	130	130
874	You's	Оправа You'S 964 - 02	49	19	135	130
875	You's	Оправа You'S 964 - 21	49	19	135	130
876	You's	Оправа You'S 965 - 02	54	17	135	135
877	You's	Оправа You'S 966 - 09	49	19	135	130
878	You's	Оправа You'S 966 - 15	49	19	135	130
879	Polaroid	P4248 B	61	18	135	140
880	Polaroid	P8346, KIH	59	13	136	140
881	Boss Hugo Boss	Солнцезащитные очки Hugo Hugo Boss, HG 1099/S, FLL	56	16	145	144
882	William Morris	BRIDGET C2	54	17	143	134
883	Safilo	7A 032, PJU	51	21	150	135
884	Safilo	7A 078, PJP	55	17	145	135
885	Polaroid	PLD D360/G, 001	50	19	145	132
886	Polaroid	PLD D433, S1V	53	17	145	137
887	Polaroid	PLD D376/G, 807	50	21	145	140
888	Polaroid	PLD D425/G, 06J	56	16	145	140
889	Polaroid	PLD D354, 003	56	17	135	138
890	Boss Hugo Boss	Оправы Hugo Hugo Boss, HG 1126, 08A	50	19	145	138
891	Boss Hugo Boss	Оправа Hugo Hugo Boss, HG 0227, 4IN	53	18	140	135
892	Boss Hugo Boss	Оправа Hugo Hugo Boss, HG 0203, R60	54	16	140	135
893	Valentin Yudashkin	Солнцезащитные очки V.Yudashkin, VY 7004 02	55	20	145	145
894	Harley Davidson	HD0776 009	55	17	145	135
895	Guess	GU7599 92W	56	17	140	140
896	Guess	GU3036 89G	51	21	135	135
897	Guess	GU7472 56F	56	17	140	143
898	Guess	GU7438 05B	54	18	135	134
899	Roberto Cavalli	RC 1142 28V	62	19	140	135
900	Valentin Yudashkin	VYF 107 C03	54	16	135	140
901	Valentin Yudashkin	VYF 063 C03	54	19	140	140
902	Valentin Yudashkin	VYF CI005 OVL	55	17	145	135
903	Valentin Yudashkin	VYF 076 C01	55	16	140	130
904	Valentin Yudashkin	VY 27-4 025	52	18	140	140
905	Harley Davidson	HD0961X 20A	59	18	145	148
906	Marciano	GM0300 001	53	15	135	134
907	Tom Ford	TF 5463-001	52	19	140	136
908	Guess	GU2670 032	52	17	135	130
909	Guess	GU2693 092	52	17	140	130
910	Guess	GU2694 083	52	18	140	135
911	Nano	NAO3060644	44	13	120	110
912	Nano	NAO622046	46	16	127	120
913	Nano	NAO3050545	45	13	123	114
914	Nano	NAO3030250	50	15	133	126
915	Nano	NAO3030252	52	15	135	130
916	Silhouette	Оправа SILHOUETTE 4553-5540	54	16	135	134
917	Nano	NAO3041044	44	13	117	110
918	Nano	NAO630347	47	16	127	125
919	Silhouette	Оправа SILHOUETTE 5541-7520	54	17	145	138
920	Silhouette	Оправа SILHOUETTE 4295-6060	56	17	135	140
921	Silhouette	Оправа SILHOUETTE 4308-6050	54	19	135	136
922	Silhouette	Оправа SILHOUETTE 5476-6052	55	19	145	140
923	Silhouette	Оправа SILHOUETTE 7642-6061	51	19	145	130
924	Nano	NAO3040544	44	13	117	111
925	Nano	NAO830550	50	19	137	135
926	Nano	NAO572044SC	44	16	127	121
927	Silhouette	Солнцезащитные очки Silhouette 8130-6208	65	18	135	143
928	Silhouette	Солнцезащитные очки Silhouette 8130-6206	66	18	135	143
929	Ray Ban	RB 6377-2906	48	21	140	136
930	Safilo	7A 033, C9A	51	22	150	135
931	Vogue Kids	VO2965-2318	43	17	125	120
932	Nano	NAO620142	42	15	107	110
933	Nano	NAO3060646	46 (44)	14(16)	132(127)	117
934	Tokai	1.50 SPS -SUPER POWER SHIELD				
935	Tokai	1.50 TBC - Tokai Blue Coating				
936	Tokai	1.50 Transitions VII HMC BROWN, GREY				
937	Tokai	1.60 Transitions VII PGC BROWN/GREY				
938	Tokai	1.60/42 HMC -HARD MULTI COATING				
939	Tokai	1.60/42  SPS- SUPER POWER SHIELD				
940	Tokai	1.60/42 AS  SPS- SUPER POWER SHIELD				
941	Tokai	1.60/42 AS Lutina PGC P-UV				
942	Tokai	AS SPS 1.7 (E)				
943	Tokai	1.76 AS SPS- SUPER POWER SHIELD				
944	Excape	EXC03/03	50	15	140	140
945	Excape	EXC03/05	50	15	140	140
946	Excape	EXC03/09	50	15	140	140
947	Essilor	X*ion Orma 1.61 Acclimates Brown Crizal Alize UV (R)				
